FirstName,MiddleName,LastName,Sex,Address,Zip,DOB,SSN,PhoneNumber,EmailAddress,UUID
Christopher,,Scott,M,4616 Cedar Ct Apt 9,37429,1986-03-22,,329-905-4958,doc21@gmail.com,1dad10fb-d5d2-4513-bfde-01a2d3489397
Nancy,K,Green,F,9293 Pine Ln,24473,1996-03-14,,289-991-8812,green_nancy@yahoo.com,c8fae643-2bdd-4e41-a1a8-c2c88dd585be
Daniel,,Baker,M,4867 Oak Dr Apt 2,78486,1977-12-20,,755-589-8801,danielgamer@outlook.com,038755f1-0be3-4ae6-a8d7-a46d2cf36f29
Karren,D,Adams,F,1366 Birch Blvd,97290,1955-05-16,,435-692-1423,adams_karen@gmail.com,adb8f00b-1cae-4959-878d-9560d7240d47
Matthew,,Nelson,M,,98125,1975-04-15,,775-563-1578,gamer908@gmail.com,2d864c27-523f-4e04-aa63-1ff212fda7b7
Betty,E,Carter,F,9808 Elm St,18211,1954-11-19,,200-778-8748,carter_betty@mail.com,0e19d8e3-5a12-4a1b-8b61-da36137947a0
Anthony,C,Mitchell,M,5057 Oak Dr,94689,1960-04-09,909926325,641-451-9922,,73d69ca7-2df8-4b37-871e-177d0e711364
Sandra,,Perez,F,,41134,1955-11-15,,232-279-6444,perez_sandra@icloud.com,6d4ceb22-9d13-4513-9886-efce66623728
Mark,C,Roberts,M,8096 Maple St,16842,1998-01-10,426703255,756-651-7507,mroberts1998@yahoo.com,297f45c7-f820-4533-81e7-0687393f7e99
Ashley,,Turner,F,9812 Pine Ln Apt 5,28278,1977-11-20,,558-332-6923,ashley.turner@university.edu,f9bfbfa1-6ad5-49b7-b98c-6721962afdc6
Donald,,Phillips,M,2756 Elm St Apt 18,29646,1990-12-23,,377-531-4194,,74fc7923-e1a2-4753-9417-4b5bcba7694a
Kimberly,A,Campbell,F,1117 Pine Ln,99538,1979-10-18,,214-885-3271,campbell_kimberly@gmail.com,b7e7b31f-5694-4b65-bdcd-86a721488a7d
Steven,,Parker,M,3408 Birch Blvd,89140,1960-04-16,,592-911-8147,,b98dac07-f0ff-464d-ba62-c0a816d48b44
Emily,T,Evans,F,6258 Oak Dr,81818,1969-02-21,,221-955-6213,eevans1969@mail.com,847131fe-70d3-4707-9519-b6495dd2d433
Paul,,Edwards,M,237 Birch Blvd,32821,1999-08-13,,679-458-3760,paul.edwards@university.edu,b9a4146e-71c7-4411-bea7-3b515121634c
Donna,G,Collins,F,7437 Cedar Ct,73896,1956-08-28,,919-576-9838,donnamoon@yahoo.com,d3d5aeea-ae65-4b5c-a6e9-5e69733f7671
Andrew,H,Stewart,M,7158 Oak Dr Apt 4,16677,1951-03-11,,988-447-6867,andrew.stewart@icloud.com,61947b91-c1ca-4688-9fbc-28296ba03dcb
Michelle,R,Sanchez,F,9185 Cedar Ct,96935,1995-03-22,,941-344-8135,,66f874ac-6b83-4d9b-8e85-d6ea7ed2b49a
Joshua,,Morris,M,5514 Maple St,27496,1994-09-26,,912-629-6702,joshua.morris@gmail.com,f721d4d5-151c-4c8d-a061-ba3ce62ab61f
Carol,,Rogers,F,,74975,1979-03-07,,954-707-5635,carol.rogers@university.edu,332abf05-f94c-4530-abd5-a13fcecf87b8
Kenneth,V,Reed,M,,97755,1997-05-15,,990-732-6715,kenneth.reed@company.org,008a225b-facd-4272-bbe6-6ea4cb80dd0c
Ammanda,,Cook,F,,95087,1958-09-03,,209-273-9255,gamer185@icloud.com,1ff85f94-cc41-4e1b-92d9-b212992835db
Kevin,Y,Morgan,M,6265 Birch Blvd Apt 16,78704,1970-11-07,,444-627-6888,happy192@hotmail.com,e7c8cd8c-f4cd-48a5-8cd0-05e2a6082d8b
Melissa,T,Bell,F,7327 Maple St Apt 1,13786,1992-11-15,,400-598-4736,melissarunner@mail.com,39666203-55ea-4336-8a1a-3accb705e506
Brian,,Murphy,M,6792 Pine Ln Apt 20,36007,1955-05-15,972792637,552-638-3923,brian.murphy@outlook.com,5268c608-5aca-49e2-bfad-e6161045e139
Deborah,W,Bailey,F,1062 Cedar Ct,68224,1989-09-22,,549-963-6494,coder166@icloud.com,625bbc5b-efe0-44cc-8ded-aa0cbf9e3542
George,L,Rivera,M,979 Elm St,83762,1972-07-07,,328-739-7744,george.rivera@hotmail.com,24a3d356-1e69-492d-88ae-8ea50c88d978
Stephanie,,Cooper,F,5227 Oak Dr Apt 6,95446,1957-02-18,,237-612-6906,stephaniemed@icloud.com,9bc2ff43-f371-46e3-bcbb-7cde620091a4
Edward,A,Richardson,M,2882 Oak Dr,95540,1980-06-22,,478-321-6377,,94b62ca9-23cb-4660-83ad-e9fc35a72707
Rebecca,,Cox,F,4118 Pine Ln,13668,1978-12-05,,215-971-3284,rebecca.cox@company.org,ed5fcc57-95fd-4864-b173-e09eb754780e
Ronald,R,Howard,M,,64104,1986-03-20,,904-645-7236,howard_ronald@gmail.com,07c89c8d-5b23-4586-a4cf-4a95ea51a32d
Laura,M,Ward,F,,34278,1994-07-20,,284-284-8228,laura.ward@mail.com,f202e710-8fe5-4d73-aade-d91ef2f9cfbe
Timothy,,Torres,M,2006 Oak Dr,95864,1962-11-10,,733-954-7405,,da24fca1-ba20-4939-86dd-86671e1c4fc4
Sharon,,Peterson,F,8694 Elm St,91062,1996-09-24,,983-252-6874,sharon.peterson@company.org,86f21188-980c-4978-9ba6-3b8de96a9a01
Jason,,Gray,M,600 Pine Ln Apt 4,25881,1963-02-16,,443-441-2645,jasonsun@outlook.com,0c394267-3598-4a35-b3d6-ab0426b5f314
Cynthia,,Ramirez,F,9914 Cedar Ct Apt 18,77197,1955-09-14,,707-412-7898,sports986@outlook.com,f9c1ba38-b159-4c6c-b1f9-7cb77a67fe73
Jeffrey,B,James,M,4102 Birch Blvd Apt 5,47010,1996-03-12,,484-233-6831,,54370039-c8c6-410e-822a-d58d730f1cb0
Kathleen,,Watson,F,8173 Birch Blvd,34216,1992-09-22,,675-784-7071,kathleenhappy@yahoo.com,8e471d70-90d3-49ec-b008-724c8a151bfe
Ryan,,Brooks,M,4376 Oak Dr Apt 4,77974,1969-08-06,,973-751-1945,gamer81@gmail.com,21325f3e-7223-4d52-9518-944af273dcc7
Helen,,Kelly,F,3199 Elm St,53913,1963-08-08,,486-301-6035,helen.kelly@gmail.com,1de3f8df-3441-4e48-95c7-673340af616f
Jacob,M,Sanders,M,447 Oak Dr Apt 15,93416,1962-05-05,,899-443-2428,jacobsun@company.org,526ba938-c3df-498f-a4c5-9e3fab93d1f1
Amy,,Price,F,3164 Walnut Ave,52461,1988-06-16,,457-914-4412,amy.price@company.org,10412437-b5f7-4a3c-af96-046c70dcd453
Gary,,Bennett,M,,94557,1953-10-06,,218-614-7005,garycoder@company.org,884bfd9f-969c-43e9-a87a-04e6b8551516
Shirley,W,Wood,F,,19513,1978-02-13,,883-301-8579,wood_shirley@hotmail.com,f38697db-1acc-4842-937b-d361a4de6e86
Nicholas,D,Barnes,M,3702 Maple St,46551,1951-06-21,,876-494-2324,nbarnes1951@outlook.com,771e5bd1-8264-4a4b-8d18-2fb2289220ef
Angela,,Ross,F,4890 Pine Ln Apt 3,59911,1993-04-28,,818-724-7894,ross_angela@hotmail.com,9ca953f9-0c05-44e2-9d0d-98dd5c488ffb
Eric,,Henderson,M,6564 Pine Ln Apt 7,24692,1977-10-22,,382-432-8053,star909@hotmail.com,18c31d67-cbc4-459c-b1cf-77d7ff23e8f8
Anna,Z,Coleman,F,1459 Oak Dr Apt 5,99602,1982-11-09,315173066,276-640-6442,annagamer@university.edu,e531b9e1-7523-4d3d-8d70-347780257886
Stephen,Z,Jenkins,M,5058 Maple St Apt 2,14468,1973-10-06,,418-402-2611,stephen.jenkins@company.org,ce9aa777-b907-4945-b867-0f3500446922
Brenda,E,Perry,F,8730 Elm St,31379,1967-08-01,,973-415-4705,brenda.perry@gmail.com,fa3cd7b9-8163-49dc-a1b0-56ec5766413b
Jonathan,A,Powell,M,5632 Walnut Ave Apt 3,72602,1961-07-11,,643-505-9798,,9c7709df-7ea1-4d67-a46f-4b5956955ec5
Pamela,,Long,F,,79904,1971-07-02,,943-805-8722,pamela.long@gmail.com,33000336-27b2-4c6e-92c4-99875b376316
Larry,,Patterson,M,9598 Cedar Ct,60820,1985-03-11,,778-988-8437,lpatterson1985@company.org,dd13e959-95c5-4659-aea2-3407753c81cd
Emma,X,Hughes,F,1451 Walnut Ave,13773,1967-08-24,,959-378-8019,emmablue@company.org,231294f3-ef16-4da2-8f67-53f26a13bf65
Justin,Z,Flores,M,,99363,1960-07-21,,627-871-6175,,667372ef-1030-4af3-a8cf-fe5994b7113e
Nicole,G,Washington,F,1041 Elm St Apt 11,98908,1960-10-05,,646-834-3997,washington_nicole@mail.com,bd40d006-b5f6-4999-96f4-882af6cd352f
Scott,R,Butler,M,5336 Cedar Ct,12105,1961-08-25,,992-606-7607,butler_scott@gmail.com,f00bf6cb-556f-49d5-96a2-534c524c21ef
Samantha,W,Simmons,F,6761 Maple St Apt 15,54596,1987-06-25,,238-882-3281,samantha.simmons@outlook.com,fa25ebeb-167c-4f68-be2b-f00219855ba1
Brnadon,,Foster,M,3084 Walnut Ave Apt 14,94323,1991-03-06,,217-766-7434,brandon.foster@outlook.com,cd4cce7c-04fc-4a5c-a36c-ece7277adc9c
Katherine,W,Gonzales,F,,27412,1979-04-21,,363-960-8584,kgonzales1979@outlook.com,05a2ac6b-186c-4262-ab89-c5f0b42fa871
Benjamin,R,Bryant,M,5954 Pine Ln,65797,1988-07-15,,711-678-4274,benjamin.bryant@outlook.com,7f7aa6fb-5d2e-4aac-b06b-0b22aa6e65bb
Christine,,Alexander,F,6812 Oak Dr,98666,1990-12-20,,456-533-4416,sun667@yahoo.com,cf8fbf09-2bc3-435a-bc71-beef7bbe07c4
